Ingredient,Properties,Usage,Skin_Type,Avoid_With,Recommended_With,Function_Category,Skin_Friendliness_Score
Retinol,Vitamin A derivative; increases cell turnover,"Anti-aging, acne treatments",Aging,"Strong acids, benzoyl peroxide; use alternate nights","Moisturizers, Niacinamide (with care)",Anti-aging / Retinoid,2
Ribes Nigrum Fruit Extract,Botanical extract; antioxidant/soothing potential,Added for antioxidant or soothing properties,All,None,"Antioxidants, Moisturizers",Antioxidant / Botanical,4
Rubus Fruticosus Fruit Extract,Botanical extract; antioxidant/soothing potential,Added for antioxidant or soothing properties,All,None,"Antioxidants, Moisturizers",Antioxidant / Botanical,4
Rubus Idacus Frult Extract,Botanical extract; antioxidant/soothing potential,Added for antioxidant or soothing properties,All,None,"Antioxidants, Moisturizers",Antioxidant / Botanical,4
Sodium Ascorbyl Phosphate,Vitamin C (antioxidant); brightens and protects,Antioxidant serums for brightening and photoprotection,All,Strong acids/retinol in same routine (may increase irritation),"Vitamin E, Ferulic acid, Sunscreen",Antioxidant / Anti-aging,4
Sodium Chloride,"Thickener, viscosity adjuster",All,All,None,None,Other,3
Sodium Hyaluronate,"Humectant, hydrator (salt form of hyaluronic acid)","Serums, moisturizers for hydration",All,None,"Glycerin, Ceramides, Niacinamide",Hydrator,5
Sorbitan Oleate,Lipid/emollient; moisturizes and softens skin,Emollient in creams/ointments,Dry,None,"Humectants, Ceramides",Emollient,4
Stearic Acid,Acidic active; exfoliant/active,Active treatment (exfoliant/brightening),Oily,Other strong acids/retinoids (irritation risk),"Moisturizers, Sunscreen",Exfoliant,3
Tetrahexyldecyl Ascorbate,Vitamin C (antioxidant); brightens and protects,Antioxidant serums for brightening and photoprotection,All,Strong acids/retinol in same routine (may increase irritation),"Vitamin E, Ferulic acid, Sunscreen",Antioxidant / Anti-aging,4
Tocopherol,"Vitamin E; antioxidant, emollient",Stabilize Vitamin C; moisturizing antioxidant,All,Generally safe,"Vitamin C, Ferulic Acid",Antioxidant / Emollient,5
Tocopheryl Acetate,Antioxidant (Vitamin E),All,All,None,None,Other,3
Trisodium Edta,Chelating agent,All,All,None,None,Other,3
Vaccinium Myrtillus Fruit Extract Oryza Sativa (Rice) Bran Extract,Botanical extract; antioxidant/soothing potential,Added for antioxidant or soothing properties,All,None,"Antioxidants, Moisturizers",Antioxidant / Botanical,4
Vanilla Planifolia Fruit Extract,Botanical extract; antioxidant/soothing potential,Added for antioxidant or soothing properties,All,None,"Antioxidants, Moisturizers",Antioxidant / Botanical,4
Voce Macrocarpon Fruit Extract,Botanical extract; antioxidant/soothing potential,Added for antioxidant or soothing properties,All,None,"Antioxidants, Moisturizers",Antioxidant / Botanical,4
Xanthan Gum,"Thickener, stabilizer",All,All,None,None,Other,3
Yogurt Extract,Botanical extract; antioxidant/soothing potential,Added for antioxidant or soothing properties,All,None,"Antioxidants, Moisturizers",Antioxidant / Botanical,4
